N°,FECHA,RAZON SOCIAL,PRECIO,VEHICULO_TIPO,PLACA_TIPO,SERVICIO_TIPO,TIPO DE PAGO,Nombre Día
6,2025-07-01 00:00:00,KIA SPORTAGE,15,CAMIONETA,BXG-270,STANDAR,YAPE,martes
2,2025-07-01 00:00:00,HYUNDAI GRIS,25,CAMIONETA,B2J-013,STANDAR,EFECTIVO,martes
4,2025-07-01 00:00:00,,40,CAMIONETA,BZJ-746,STANDAR,EFECTIVO,martes
3,2025-07-01 00:00:00,LINEAL CELESTE,8,MOTO,2639-7A,STANDAR,YAPE,martes
1,2025-07-01 00:00:00,LINEAL PULSAR NEGRA,8,MOTO,4274-7V,STANDAR,YAPE,martes
7,2025-07-01 00:00:00,LINEAL NARANJA,10,MOTO,2621-JC,STANDAR,YAPE,martes
5,2025-07-01 00:00:00,AZUL,12,MOTO TAXI,PLACA DESCONOCIDA,STANDAR,YAPE,martes
13,2025-07-02 00:00:00,TOYOTA PLOMO,35,CAMIONETA,M6L-413,STANDAR,EFECTIVO,miércoles
15,2025-07-02 00:00:00,KIA RIO NEGRO,15,CARRO,C2G-346,STANDAR,EFECTIVO,miércoles
16,2025-07-02 00:00:00,LINEAL NEGRA,8,MOTO,5668-MP,STANDAR,EFECTIVO,miércoles
11,2025-07-02 00:00:00,LINEAL AZUL,9,MOTO,3355-XB,STANDAR,EFECTIVO,miércoles
8,2025-07-02 00:00:00,AZUL,12,MOTO TAXI,2605-5A,STANDAR,EFECTIVO,miércoles
12,2025-07-02 00:00:00,,0,CAMIONETA,ATZ-666,PREMIUM,,miércoles
14,2025-07-02 00:00:00,JEPTOUR MORADA,45,CAMIONETA,CKH-295,PREMIUM,YAPE,miércoles
9,2025-07-02 00:00:00,KIA PICANTO NEGRO,55,CARRO,T2C-279,PREMIUM,EFECTIVO,miércoles
10,2025-07-02 00:00:00,HYUNDAI VERNA ROJO,20,CARRO,BUJ-572,EXPRESS,EFECTIVO,miércoles
17,2025-07-03 00:00:00,SUBARU GRIS,35,CAMIONETA,AMG-156,STANDAR,EFECTIVO,jueves
18,2025-07-03 00:00:00,KIA CERATO NEGRO,55,CARRO,ALW-676,STANDAR,YAPE,jueves
21,2025-07-03 00:00:00,LINEAL NEGRA,9,MOTO,PLACA DESCONOCIDA,STANDAR,YAPE,jueves
19,2025-07-03 00:00:00,GRIS,35,CAMIONETA,BCA-462,PREMIUM,YAPE,jueves
20,2025-07-03 00:00:00,MERCEDES GLA 200,50,CAMIONETA,ATG-289,PREMIUM,YAPE,jueves
23,2025-07-04 00:00:00,FORD BLANCA,25,CAMIONETA,CJW-498,STANDAR,EFECTIVO,viernes
28,2025-07-04 00:00:00,JEEP ROJA,25,CAMIONETA,RGG-350,STANDAR,YAPE,viernes
25,2025-07-04 00:00:00,LINEAL NEGRA,9,MOTO,1973-CA,STANDAR,YAPE,viernes
24,2025-07-04 00:00:00,LINEAL NEGRA,10,MOTO,PLACA DESCONOCIDA,STANDAR,YAPE,viernes
22,2025-07-04 00:00:00,BLANCA,20,MINIVAN,PLACA DESCONOCIDA,STANDAR,EFECTIVO,viernes
26,2025-07-04 00:00:00,HONDA CR-V NEGRA,15,CAMIONETA,PLACA DESCONOCIDA,EXPRESS,EFECTIVO,viernes
29,2025-07-04 00:00:00,TOYOTA RUSH,15,CAMIONETA,CSE-570,EXPRESS,EFECTIVO,viernes
27,2025-07-04 00:00:00,KIA SPORTAGE ROJA,220,CAMIONETA,BRH-432,LAVADO DE SALON,EFECTIVO,viernes
34,2025-07-05 00:00:00,GRIS,25,CAMIONETA,BLH-034,STANDAR,YAPE,sábado
33,2025-07-05 00:00:00,GRIS,20,CARRO,CSF-345,STANDAR,EFECTIVO,sábado
31,2025-07-05 00:00:00,KIA PICANTO MARRÒN,20,CARRO,AVV-148,STANDAR,YAPE,sábado
32,2025-07-05 00:00:00,ROJA,12,MOTO TAXI,7216-6A,STANDAR,EFECTIVO,sábado
30,2025-07-05 00:00:00,CHEVROLET ROJA,50,CAMIONETA,PLACA DESCONOCIDA,PREMIUM,YAPE,sábado
35,2025-07-05 00:00:00,SOLO LLANTAS,2,MOTO TAXI,PLACA DESCONOCIDA,EXPRESS,EFECTIVO,sábado
45,2025-07-06 00:00:00,GRIS,20,CAMIONETA,F7K-245,STANDAR,EFECTIVO,domingo
38,2025-07-06 00:00:00,NEGRA,20,CAMIONETA,BVF-453,STANDAR,YAPE,domingo
36,2025-07-06 00:00:00,ROJA,20,CAMIONETA,CLH-370,STANDAR,EFECTIVO,domingo
44,2025-07-06 00:00:00,AZUL,25,CAMIONETA,CPK-530,STANDAR,EFECTIVO,domingo
39,2025-07-06 00:00:00,BLANCA,25,CAMIONETA,BCY-30S,STANDAR,YAPE,domingo
47,2025-07-06 00:00:00,,20,CARRO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,domingo
37,2025-07-06 00:00:00,LINEAL RODRIGO,0,MOTO,PLACA DESCONOCIDA,STANDAR,VAGAZO,domingo
49,2025-07-06 00:00:00,LINEAL EZIO,9,MOTO,5668-MP,STANDAR,YAPE,domingo
42,2025-07-06 00:00:00,,10,MOTO,0533-NB,STANDAR,YAPE,domingo
40,2025-07-06 00:00:00,LINEAL,10,MOTO,PLACA DESCONOCIDA,STANDAR,YAPE,domingo
48,2025-07-06 00:00:00,LINEAL,10,MOTO,CRJ-223,STANDAR,YAPE,domingo
43,2025-07-06 00:00:00,BLANCA,45,CAMIONETA,BBJ-074,PREMIUM,YAPE,domingo
41,2025-07-06 00:00:00,GRIS,45,CARRO,ARB-243,PREMIUM,YAPE,domingo
46,2025-07-06 00:00:00,NEGRO,15,CARRO,PLACA DESCONOCIDA,EXPRESS,EFECTIVO,domingo
55,2025-07-07 00:00:00,MAZDA,20,CAMIONETA,ASJ-285,STANDAR,YAPE,lunes
52,2025-07-07 00:00:00,HYUNDAI TUCSSON,30,CAMIONETA,A8X-419,STANDAR,EFECTIVO,lunes
58,2025-07-07 00:00:00,,25,CARRO,BZH-356,STANDAR,YAPE,lunes
53,2025-07-07 00:00:00,CHEVROLET NEGRO,30,CARRO,D8Q-459,STANDAR,EFECTIVO,lunes
60,2025-07-07 00:00:00,KIA RIO NEGRO,40,CARRO,T2C-279,STANDAR,EFECTIVO,lunes
56,2025-07-07 00:00:00,LINEAL HONDA NAVI,8,MOTO,2134-VC,STANDAR,EFECTIVO,lunes
57,2025-07-07 00:00:00,LINEAL,10,MOTO,6462-9A,STANDAR,YAPE,lunes
59,2025-07-07 00:00:00,,45,CAMIONETA,CEK-557,PREMIUM,YAPE,lunes
51,2025-07-07 00:00:00,HYUNDAI ACCENT,45,CARRO,B9T-118,PREMIUM,YAPE,lunes
50,2025-07-07 00:00:00,KIA SPORTAGE,70,CAMIONETA,BRF-690,BLACK,EFECTIVO,lunes
54,2025-07-07 00:00:00,PLOMA,25,MINIVAN,BAQ-150,EXPRESS,YAPE,lunes
63,2025-07-08 00:00:00,FORD,30,CAMIONETA,PLACA DESCONOCIDA,STANDAR,YAPE,martes
61,2025-07-08 00:00:00,SUZUKI CREMA,20,CARRO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,martes
62,2025-07-08 00:00:00,MAZDA ROJO,110,CARRO,C4Z-096,BLACK,YAPE,martes
67,2025-07-09 00:00:00,MAZDA BLANCO,25,CAMIONETA,CC0-716,STANDAR,EFECTIVO,miércoles
65,2025-07-09 00:00:00,SUV MAZDA,25,CAMIONETA,BJF-280,STANDAR,YAPE,miércoles
64,2025-07-09 00:00:00,JAC PLOMO,20,CARRO,BUS-316,STANDAR,EFECTIVO,miércoles
66,2025-07-09 00:00:00,,12,MOTO TAXI,5931-AC,STANDAR,YAPE 6 -EFECTIVO 6,miércoles
70,2025-07-10 00:00:00,KIA NEGRO,15,CARRO,C2G-346,STANDAR,EFECTIVO,jueves
68,2025-07-10 00:00:00,LINEAL BLANCA,10,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,jueves
69,2025-07-10 00:00:00,CRETA,50,CAMIONETA,PLACA DESCONOCIDA,PREMIUM,YAPE,jueves
74,2025-07-11 00:00:00,HONDA NEGRA,25,CAMIONETA,F4S-553,STANDAR,YAPE,viernes
77,2025-07-11 00:00:00,HYUNDAI SANTA FE,30,CAMIONETA,PLACA DESCONOCIDA,STANDAR,YAPE,viernes
78,2025-07-11 00:00:00,SUZUKI VITARA,30,CAMIONETA,BRV-370,STANDAR,EFECTIVO,viernes
73,2025-07-11 00:00:00,LINEAL NAVI BLANCA,8,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,viernes
